bits,bit_setting,view,mode,status,metric,n,mean,std,sem,ci95_low,ci95_high
2.0,2.0,spinor_minus_proxy,key_only_block_so8_triality_minus,pass,max_effective_orthogonality_error,1,0.0051527023315429,0.0,0.0,0.0051527023315429,0.0051527023315429
2.0,2.0,spinor_plus_proxy,key_only_block_so8_triality_plus,pass,max_effective_orthogonality_error,1,0.0052546076476573,0.0,0.0,0.0052546076476573,0.0052546076476573
2.0,2.0,vector,key_only_block_so8_triality_vector,pass,max_effective_orthogonality_error,1,0.0051856637001037,0.0,0.0,0.0051856637001037,0.0051856637001037
2.0,2.0,spinor_minus_proxy,key_only_block_so8_triality_minus,pass,mean_effective_determinant_error,1,0.0021446861947447,0.0,0.0,0.0021446861947447,0.0021446861947447
2.0,2.0,spinor_plus_proxy,key_only_block_so8_triality_plus,pass,mean_effective_determinant_error,1,0.0020366070534396,0.0,0.0,0.0020366070534396,0.0020366070534396
2.0,2.0,vector,key_only_block_so8_triality_vector,pass,mean_effective_determinant_error,1,0.0020891337281322,0.0,0.0,0.0020891337281322,0.0020891337281322
2.0,2.0,spinor_minus_proxy,key_only_block_so8_triality_minus,pass,mean_effective_orthogonality_error,1,0.0031321811299562,0.0,0.0,0.0031321811299562,0.0031321811299562
2.0,2.0,spinor_plus_proxy,key_only_block_so8_triality_plus,pass,mean_effective_orthogonality_error,1,0.0031563994650023,0.0,0.0,0.0031563994650023,0.0031563994650023
2.0,2.0,vector,key_only_block_so8_triality_vector,pass,mean_effective_orthogonality_error,1,0.0032052420596606,0.0,0.0,0.0032052420596606,0.0032052420596606
2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,pass,max_effective_orthogonality_error,1,0.0051527023315429,0.0,0.0,0.0051527023315429,0.0051527023315429
2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,pass,max_effective_orthogonality_error,1,0.0052546076476573,0.0,0.0,0.0052546076476573,0.0052546076476573
2.5,2.5,vector,key_only_block_so8_triality_vector,pass,max_effective_orthogonality_error,1,0.0051856637001037,0.0,0.0,0.0051856637001037,0.0051856637001037
2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,pass,mean_effective_determinant_error,1,0.0021446861947447,0.0,0.0,0.0021446861947447,0.0021446861947447
2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,pass,mean_effective_determinant_error,1,0.0020366070534396,0.0,0.0,0.0020366070534396,0.0020366070534396
2.5,2.5,vector,key_only_block_so8_triality_vector,pass,mean_effective_determinant_error,1,0.0020891337281322,0.0,0.0,0.0020891337281322,0.0020891337281322
2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,pass,mean_effective_orthogonality_error,1,0.0031321811299562,0.0,0.0,0.0031321811299562,0.0031321811299562
2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,pass,mean_effective_orthogonality_error,1,0.0031563994650023,0.0,0.0,0.0031563994650023,0.0031563994650023
2.5,2.5,vector,key_only_block_so8_triality_vector,pass,mean_effective_orthogonality_error,1,0.0032052420596606,0.0,0.0,0.0032052420596606,0.0032052420596606
3.0,3.0,spinor_minus_proxy,key_only_block_so8_triality_minus,pass,max_effective_orthogonality_error,1,0.0049111247062683,0.0,0.0,0.0049111247062683,0.0049111247062683
3.0,3.0,spinor_plus_proxy,key_only_block_so8_triality_plus,pass,max_effective_orthogonality_error,1,0.0051753288134932,0.0,0.0,0.0051753288134932,0.0051753288134932
3.0,3.0,vector,key_only_block_so8_triality_vector,pass,max_effective_orthogonality_error,1,0.0048699975013732,0.0,0.0,0.0048699975013732,0.0048699975013732
3.0,3.0,spinor_minus_proxy,key_only_block_so8_triality_minus,pass,mean_effective_determinant_error,1,0.0020972802696962,0.0,0.0,0.0020972802696962,0.0020972802696962
3.0,3.0,spinor_plus_proxy,key_only_block_so8_triality_plus,pass,mean_effective_determinant_error,1,0.0018359673373874,0.0,0.0,0.0018359673373874,0.0018359673373874
3.0,3.0,vector,key_only_block_so8_triality_vector,pass,mean_effective_determinant_error,1,0.0018140237688095,0.0,0.0,0.0018140237688095,0.0018140237688095
3.0,3.0,spinor_minus_proxy,key_only_block_so8_triality_minus,pass,mean_effective_orthogonality_error,1,0.0031836593767033,0.0,0.0,0.0031836593767033,0.0031836593767033
3.0,3.0,spinor_plus_proxy,key_only_block_so8_triality_plus,pass,mean_effective_orthogonality_error,1,0.0031225947751316,0.0,0.0,0.0031225947751316,0.0031225947751316
3.0,3.0,vector,key_only_block_so8_triality_vector,pass,mean_effective_orthogonality_error,1,0.0031128404289084,0.0,0.0,0.0031128404289084,0.0031128404289084
3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,pass,max_effective_orthogonality_error,1,0.0049111247062683,0.0,0.0,0.0049111247062683,0.0049111247062683
3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,pass,max_effective_orthogonality_error,1,0.0051753288134932,0.0,0.0,0.0051753288134932,0.0051753288134932
3.5,3.5,vector,key_only_block_so8_triality_vector,pass,max_effective_orthogonality_error,1,0.0048699975013732,0.0,0.0,0.0048699975013732,0.0048699975013732
3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,pass,mean_effective_determinant_error,1,0.0020972802696962,0.0,0.0,0.0020972802696962,0.0020972802696962
3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,pass,mean_effective_determinant_error,1,0.0018359673373874,0.0,0.0,0.0018359673373874,0.0018359673373874
3.5,3.5,vector,key_only_block_so8_triality_vector,pass,mean_effective_determinant_error,1,0.0018140237688095,0.0,0.0,0.0018140237688095,0.0018140237688095
3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,pass,mean_effective_orthogonality_error,1,0.0031836593767033,0.0,0.0,0.0031836593767033,0.0031836593767033
3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,pass,mean_effective_orthogonality_error,1,0.0031225947751316,0.0,0.0,0.0031225947751316,0.0031225947751316
3.5,3.5,vector,key_only_block_so8_triality_vector,pass,mean_effective_orthogonality_error,1,0.0031128404289084,0.0,0.0,0.0031128404289084,0.0031128404289084
4.0,4.0,spinor_minus_proxy,key_only_block_so8_triality_minus,pass,max_effective_orthogonality_error,1,0.0054367929697036,0.0,0.0,0.0054367929697036,0.0054367929697036
4.0,4.0,spinor_plus_proxy,key_only_block_so8_triality_plus,pass,max_effective_orthogonality_error,1,0.0052061080932617,0.0,0.0,0.0052061080932617,0.0052061080932617
4.0,4.0,vector,key_only_block_so8_triality_vector,pass,max_effective_orthogonality_error,1,0.004754289984703,0.0,0.0,0.004754289984703,0.004754289984703
4.0,4.0,spinor_minus_proxy,key_only_block_so8_triality_minus,pass,mean_effective_determinant_error,1,0.0020727936706286,0.0,0.0,0.0020727936706286,0.0020727936706286
4.0,4.0,spinor_plus_proxy,key_only_block_so8_triality_plus,pass,mean_effective_determinant_error,1,0.002047906032942,0.0,0.0,0.002047906032942,0.002047906032942
4.0,4.0,vector,key_only_block_so8_triality_vector,pass,mean_effective_determinant_error,1,0.0018252826174408,0.0,0.0,0.0018252826174408,0.0018252826174408
4.0,4.0,spinor_minus_proxy,key_only_block_so8_triality_minus,pass,mean_effective_orthogonality_error,1,0.0031260672310882,0.0,0.0,0.0031260672310882,0.0031260672310882
4.0,4.0,spinor_plus_proxy,key_only_block_so8_triality_plus,pass,mean_effective_orthogonality_error,1,0.0031436236869248,0.0,0.0,0.0031436236869248,0.0031436236869248
4.0,4.0,vector,key_only_block_so8_triality_vector,pass,mean_effective_orthogonality_error,1,0.0031410990457496,0.0,0.0,0.0031410990457496,0.0031410990457496
8.0,8.0,spinor_minus_proxy,key_only_block_so8_triality_minus,pass,max_effective_orthogonality_error,1,0.0051745921373367,0.0,0.0,0.0051745921373367,0.0051745921373367
8.0,8.0,spinor_plus_proxy,key_only_block_so8_triality_plus,pass,max_effective_orthogonality_error,1,0.0053687551990151,0.0,0.0,0.0053687551990151,0.0053687551990151
