bit_setting,bits,metric,baseline_mode,candidate_mode,test,n_pairs,statistic,p_value,baseline_mean,candidate_mean,delta_candidate_minus_baseline,p_value_holm,significant_0_05
2,2.0,attention_output_relative_error,protected_v,protected_v_lowrank,wilcoxon_signed_rank,9,0.0,0.00390625,0.2760143147574531,0.26411036650339764,-0.011903948254055441,0.01953125,True
2,2.0,attention_output_relative_error,protected_v,v_mse_block_so8,wilcoxon_signed_rank,9,0.0,0.00390625,0.2760143147574531,0.33817390269703335,0.06215958793958026,0.01953125,True
2,2.0,attention_output_relative_error,protected_v,v_mse_random,wilcoxon_signed_rank,9,0.0,0.00390625,0.2760143147574531,0.33813149399227566,0.06211717923482257,0.01953125,True
2,2.0,attention_output_relative_error,protected_v,v_prod_block_so8,wilcoxon_signed_rank,9,0.0,0.00390625,0.2760143147574531,0.753266778257158,0.47725246349970496,0.01953125,True
2,2.0,attention_output_relative_error,protected_v,v_prod_random,wilcoxon_signed_rank,9,0.0,0.00390625,0.2760143147574531,0.7453364994790819,0.4693221847216288,0.01953125,True
2,2.0,hidden_cosine_similarity,protected_v,protected_v_lowrank,wilcoxon_signed_rank,9,0.0,0.00390625,0.9612586034668816,0.9645800789197286,0.0033214754528470003,0.01953125,True
2,2.0,hidden_cosine_similarity,protected_v,v_mse_block_so8,wilcoxon_signed_rank,9,0.0,0.00390625,0.9612586034668816,0.941084967719184,-0.020173635747697594,0.01953125,True
2,2.0,hidden_cosine_similarity,protected_v,v_mse_random,wilcoxon_signed_rank,9,0.0,0.00390625,0.9612586034668816,0.9410791330867343,-0.020179470380147335,0.01953125,True
2,2.0,hidden_cosine_similarity,protected_v,v_prod_block_so8,wilcoxon_signed_rank,9,0.0,0.00390625,0.9612586034668816,0.7955681416723464,-0.16569046179453528,0.01953125,True
2,2.0,hidden_cosine_similarity,protected_v,v_prod_random,wilcoxon_signed_rank,9,0.0,0.00390625,0.9612586034668816,0.7997321287790934,-0.16152647468778825,0.01953125,True
2,2.0,memory_ratio_vs_exact,protected_v,protected_v_lowrank,wilcoxon_signed_rank,9,0.0,0.00390625,0.14892578125,0.16455078125,0.015625,0.01953125,True
2,2.0,memory_ratio_vs_exact,protected_v,v_mse_block_so8,wilcoxon_signed_rank,9,0.0,0.00390625,0.14892578125,0.07421875,-0.07470703125,0.01953125,True
2,2.0,memory_ratio_vs_exact,protected_v,v_mse_random,wilcoxon_signed_rank,9,0.0,0.00390625,0.14892578125,0.07421875,-0.07470703125,0.01953125,True
