bit_setting,bits,mode,metric,n,mean,std,sem,ci95_low,ci95_high
2,2.0,protected_v,attention_output_relative_error,9,0.2760143147574531,0.0063798104384489565,0.0021266034794829853,0.2711103583398258,0.2809182711750804
2,2.0,protected_v_lowrank,attention_output_relative_error,9,0.26411036650339764,0.004457915073683204,0.0014859716912277348,0.26068370963863013,0.26753702336816515
2,2.0,v_mse_block_so8,attention_output_relative_error,9,0.33817390269703335,0.006071278941619901,0.0020237596472066337,0.3335071045819155,0.3428407008121512
2,2.0,v_mse_random,attention_output_relative_error,9,0.33813149399227566,0.0080716503954242,0.0026905501318080665,0.33192707426235213,0.3443359137221992
2,2.0,v_prod_block_so8,attention_output_relative_error,9,0.753266778257158,0.012063330773926793,0.004021110257975598,0.7439940813741545,0.7625394751401616
2,2.0,v_prod_random,attention_output_relative_error,9,0.7453364994790819,0.012299230351949363,0.004099743450649788,0.7358824741286073,0.7547905248295564
3,3.0,protected_v,attention_output_relative_error,9,0.14969830214977264,0.002686054699493731,0.0008953515664979103,0.14763361773496694,0.15176298656457834
3,3.0,protected_v_lowrank,attention_output_relative_error,9,0.14379913277096218,0.0024833542807957587,0.0008277847602652529,0.14189025769073152,0.14570800785119284
3,3.0,v_mse_block_so8,attention_output_relative_error,9,0.1843196584118737,0.005996918476307206,0.0019989728254357353,0.17971001881025814,0.18892929801348926
3,3.0,v_mse_random,attention_output_relative_error,9,0.18242257999049294,0.002539549769060523,0.000846516589686841,0.18047050923415617,0.1843746507468297
3,3.0,v_prod_block_so8,attention_output_relative_error,9,0.42084793249766034,0.009531944885622735,0.0031773149618742453,0.41352103105673227,0.4281748339385884
3,3.0,v_prod_random,attention_output_relative_error,9,0.42908088035053676,0.004469969758521573,0.0014899899195071908,0.4256449574347407,0.43251680326633285
4,4.0,protected_v,attention_output_relative_error,9,0.07960680292712317,0.0015181282172807046,0.0005060427390935682,0.07843986627818336,0.08077373957606299
4,4.0,protected_v_lowrank,attention_output_relative_error,9,0.07672355655166838,0.0016431132896195984,0.0005477044298731994,0.07546054787151114,0.07798656523182561
4,4.0,v_mse_block_so8,attention_output_relative_error,9,0.0973077184624142,0.004343392620230067,0.001447797540076689,0.09396909134805895,0.10064634557676946
4,4.0,v_mse_random,attention_output_relative_error,9,0.09686326401101218,0.002534356736705218,0.0008447855789017393,0.09491518497270393,0.09881134304932043
4,4.0,v_prod_block_so8,attention_output_relative_error,9,0.2297933515575197,0.006665747412224678,0.0022219158040748927,0.2246696045252475,0.2349170985897919
4,4.0,v_prod_random,attention_output_relative_error,9,0.22967786259121364,0.006615851209323359,0.0022052837364411196,0.22459246917568193,0.23476325600674536
exact,,exact,attention_output_relative_error,9,0.0,0.0,0.0,0.0,0.0
2,2.0,protected_v,hidden_cosine_similarity,9,0.9612586034668816,0.0018203583265037813,0.0006067861088345938,0.9598593521907246,0.9626578547430387
2,2.0,protected_v_lowrank,hidden_cosine_similarity,9,0.9645800789197286,0.0012333624868582558,0.00041112082895275193,0.963632032588095,0.9655281252513622
2,2.0,v_mse_block_so8,hidden_cosine_similarity,9,0.941084967719184,0.002181020490111711,0.000727006830037237,0.9394084869627966,0.9427614484755715
2,2.0,v_mse_random,hidden_cosine_similarity,9,0.9410791330867343,0.0029299448557554963,0.000976648285251832,0.9388269781023035,0.9433312880711651
2,2.0,v_prod_block_so8,hidden_cosine_similarity,9,0.7955681416723464,0.0074466220902510176,0.002482207363417006,0.7898441612278725,0.8012921221168202
2,2.0,v_prod_random,hidden_cosine_similarity,9,0.7997321287790934,0.007717552994150741,0.0025725176647169137,0.7937998924063704,0.8056643651518164
3,3.0,protected_v,hidden_cosine_similarity,9,0.9887652264700996,0.0004171031457342386,0.00013903438191141285,0.9884446126104763,0.9890858403297228
3,3.0,protected_v_lowrank,hidden_cosine_similarity,9,0.9896359377437167,0.00036814053640271417,0.00012271351213423806,0.9893529598772898,0.9899189156101437
3,3.0,v_mse_block_so8,hidden_cosine_similarity,9,0.9828712410397,0.0011227651569786004,0.00037425505232620016,0.9820082073414148,0.9837342747379852
3,3.0,v_mse_random,hidden_cosine_similarity,9,0.9832275708516439,0.0004752692610010661,0.00015842308700035536,0.9828622465579093,0.9835928951453785
3,3.0,v_prod_block_so8,hidden_cosine_similarity,9,0.9224100179142423,0.003692340540896492,0.0012307801802988307,0.9195718337289458,0.9252482020995387
3,3.0,v_prod_random,hidden_cosine_similarity,9,0.9193298617998759,0.0017202972051919812,0.0005734324017306604,0.9180075243102249,0.9206521992895268
4,4.0,protected_v,hidden_cosine_similarity,9,0.9968286686473422,0.00012469236286353084,4.156412095451028e-05,0.996732821612545,0.9969245156821395
4,4.0,protected_v_lowrank,hidden_cosine_similarity,9,0.9970539013544718,0.00012915993356896758,4.305331118965586e-05,0.9969546202408343,0.9971531824681094
4,4.0,v_mse_block_so8,hidden_cosine_similarity,9,0.9952492978837755,0.00043301939536912186,0.00014433979845637396,0.9949164497116605,0.9955821460558905
4,4.0,v_mse_random,hidden_cosine_similarity,9,0.9953006969557868,0.00024321736792738924,8.107245597579641e-05,0.9951137435370555,0.9954876503745181
4,4.0,v_prod_block_so8,hidden_cosine_similarity,9,0.9745232396655612,0.0013164064500776017,0.00043880215002586724,0.973511360093065,0.9755351192380574
4,4.0,v_prod_random,hidden_cosine_similarity,9,0.9746946162647672,0.0012282709662597992,0.0004094236554199331,0.9737504836223184,0.9756387489072159
exact,,exact,hidden_cosine_similarity,9,1.0,0.0,0.0,1.0,1.0
2,2.0,protected_v,memory_ratio_vs_exact,9,0.14892578125,0.0,0.0,0.14892578125,0.14892578125
2,2.0,protected_v_lowrank,memory_ratio_vs_exact,9,0.16455078125,0.0,0.0,0.16455078125,0.16455078125
2,2.0,v_mse_block_so8,memory_ratio_vs_exact,9,0.07421875,0.0,0.0,0.07421875,0.07421875
2,2.0,v_mse_random,memory_ratio_vs_exact,9,0.07421875,0.0,0.0,0.07421875,0.07421875
2,2.0,v_prod_block_so8,memory_ratio_vs_exact,9,0.078125,0.0,0.0,0.078125,0.078125
2,2.0,v_prod_random,memory_ratio_vs_exact,9,0.078125,0.0,0.0,0.078125,0.078125
3,3.0,protected_v,memory_ratio_vs_exact,9,0.17822265625,0.0,0.0,0.17822265625,0.17822265625
3,3.0,protected_v_lowrank,memory_ratio_vs_exact,9,0.19384765625,0.0,0.0,0.19384765625,0.19384765625
3,3.0,v_mse_block_so8,memory_ratio_vs_exact,9,0.10546875,0.0,0.0,0.10546875,0.10546875
3,3.0,v_mse_random,memory_ratio_vs_exact,9,0.10546875,0.0,0.0,0.10546875,0.10546875
3,3.0,v_prod_block_so8,memory_ratio_vs_exact,9,0.109375,0.0,0.0,0.109375,0.109375
3,3.0,v_prod_random,memory_ratio_vs_exact,9,0.109375,0.0,0.0,0.109375,0.109375
